Symbol,Name
AMBA,"Ambarella, Inc."
IREN,IREN Limited
BABA,Alibaba Group Holding Limited
AFRM,"Affirm Holdings, Inc."
ADSK,"Autodesk, Inc."
DOOO,BRP Inc.
CIFR,Cipher Mining Inc.
PRVA,"Privia Health Group, Inc."
S,"SentinelOne, Inc."
EQX,Equinox Gold Corp.
MIAX,"Miami International Holdings, Inc."
NG,NovaGold Resources Inc.
HL,Hecla Mining Company
CELH,"Celsius Holdings, Inc."
HMY,Harmony Gold Mining Company Limited
NXE,NexGen Energy Ltd.
OS,"OneStream, Inc."
CNXC,Concentrix Corporation
BIDU,"Baidu, Inc."
SATS,EchoStar Corporation
CDE,"Coeur Mining, Inc."
JOYY,JOYY Inc.
GH,"Guardant Health, Inc."
BTDR,Bitdeer Technologies Group
COO,"The Cooper Companies, Inc."
SSRM,SSR Mining Inc.
IAG,IAMGOLD Corporation
HCC,"Warrior Met Coal, Inc."
GFI,Gold Fields Limited
BILI,Bilibili Inc.
SBSW,Sibanye Stillwater Limited
AEM,Agnico Eagle Mines Limited
SJM,The J. M. Smucker Company
BF-A,Brown-Forman Corporation
OLN,Olin Corporation
MOH,"Molina Healthcare, Inc."
FSM,Fortuna Mining Corp.
BF-B,Brown-Forman Corporation
HP,"Helmerich & Payne, Inc."
WPM,Wheaton Precious Metals Corp.
EMN,Eastman Chemical Company
TD,The Toronto-Dominion Bank
CMBT,Cmb.Tech NV
VERX,"Vertex, Inc."
NGD,New Gold Inc.
BHC,Bausch Health Companies Inc.
